19172
15 15
15 4
13,13,13,11,3,5,11,1,1,3,3,5,9,7,12
10,0,2,3,5,12,13,12,10,5,11,2,6,9,4
11,6,9,3,2,4,10,6,13,10,5,11,3,6,12
13,11,4,9,3,2,3,1,6,11,4,9,3,3,4
12,9,6,10,1,3,7,8,5,13,10,0,7,11,4
8,6,13,13,14,13,13,14,8,2,3,6,9,3,4
8,5,8,2,1,2,0,7,8,7,11,5,10,5,14
12,10,6,9,2,7,10,5,12,13,9,0,3,2,7
12,13,11,2,3,7,11,4,14,12,14,8,3,3,5
12,12,11,5,13,9,7,10,1,6,13,14,11,3,4
14,10,1,2,2,2,7,9,2,7,10,1,7,13,12
13,9,2,3,1,7,11,2,5,9,1,4,11,0,4
12,12,13,9,4,13,9,3,6,14,12,14,13,12,14
8,0,6,12,10,0,2,7,13,9,2,5,8,2,7
14,10,7,8,7,14,11,3,2,2,7,10,2,3,7
