5406
20 28
10 7
13,9,1,5,13,11,3,1,3,4,9,3,5,9,3,1,3,3,1,5
12,12,14,10,0,1,3,4,13,8,6,11,2,6,13,8,5,13,14,12
10,0,3,7,14,10,5,10,6,10,3,7,13,13,12,12,14,10,5,14
9,2,1,1,5,13,10,3,7,13,13,11,2,2,0,4,13,11,0,7
12,13,12,14,8,6,13,11,3,4,12,11,5,13,14,12,8,3,0,5
12,12,14,13,14,11,0,1,3,0,4,9,0,4,9,0,6,11,6,14
10,6,13,8,7,9,6,12,11,6,8,6,14,8,4,14,13,9,1,5
9,5,12,10,3,2,7,14,11,5,12,9,3,6,10,1,6,12,14,12
12,8,0,1,3,5,11,5,13,8,4,14,9,3,1,0,7,12,11,4
14,14,14,10,5,10,7,10,4,12,10,7,12,13,14,8,7,10,5,14
13,9,3,5,10,5,11,3,4,12,11,3,6,8,7,10,1,7,12,13
12,8,5,14,9,2,1,5,8,0,7,13,13,8,3,3,0,3,6,12
10,4,14,11,0,5,14,8,6,8,3,0,6,12,11,5,8,5,11,4
11,0,3,1,6,14,13,14,13,10,7,8,7,12,11,2,4,12,9,6
13,14,11,2,7,9,6,13,12,9,7,14,13,10,1,5,14,14,12,13
8,3,3,3,5,12,11,2,0,2,5,9,6,11,4,12,13,9,2,6
12,13,13,11,2,4,11,1,6,9,2,6,13,9,6,8,4,8,7,13
8,2,2,7,13,8,7,8,7,14,13,9,6,12,13,12,10,4,9,4
10,5,13,13,10,2,3,2,3,3,2,2,1,4,12,14,11,4,12,14
11,6,8,4,13,11,5,11,1,7,13,9,6,14,12,9,7,12,8,7
13,11,6,10,2,3,4,11,2,1,4,8,7,11,4,8,3,2,2,5
10,5,11,3,1,7,10,5,9,4,10,6,11,3,4,8,7,13,9,6
9,2,7,9,0,1,1,2,6,14,11,5,11,1,2,6,13,12,10,5
8,7,9,6,12,14,8,7,13,13,9,4,11,4,9,3,0,4,11,4
10,3,0,5,14,9,2,7,12,12,14,8,7,8,4,11,6,14,13,12
11,3,4,10,7,14,11,5,8,2,3,4,11,4,12,9,1,3,4,14
9,3,2,7,13,9,1,6,12,11,3,0,1,4,10,4,14,11,2,5
10,3,3,7,10,6,8,3,2,7,11,6,14,14,11,2,3,7,11,6
